cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
......0221 Hettlingen,3226,1600,1626,2893,1425,1468,333,175,158
......0223 Neftenbach,5766,2882,2884,5000,2469,2531,766,413,353
......0224 Pfungen,4151,2090,2061,3051,1500,1551,1100,590,510
......0225 Rickenbach (ZH),2850,1441,1409,2453,1220,1233,397,221,176
......0226 Schlatt (ZH),785,403,382,713,363,350,72,40,32
......0227 Seuzach,7990,3952,4038,6726,3312,3414,1264,640,624
......0228 Turbenthal,5300,2612,2688,4192,2016,2176,1108,596,512
......0230 Winterthur,120344,59564,60780,88137,42776,45361,32207,16788,15419
......0231 Zell (ZH),6806,3402,3404,5288,2588,2700,1518,814,704
......0294 Elgg,5174,2622,2552,4097,2049,2048,1077,573,504
......0298 Wiesendangen,6798,3383,3415,6095,3030,3065,703,353,350
>> Bezirk Dietikon,98142,49750,48392,60887,29981,30906,37255,19769,17486
......0241 Aesch (ZH),1659,828,831,1335,670,665,324,158,166
......0242 Birmensdorf (ZH),7375,3660,3715,5380,2614,2766,1995,1046,949
......0243 Dietikon,28272,14433,13839,14466,7085,7381,13806,7348,6458
......0244 Geroldswil,5311,2617,2694,3691,1808,1883,1620,809,811
......0245 Oberengstringen,6910,3502,3408,4378,2152,2226,2532,1350,1182
......0246 Oetwil an der Limmat,2574,1328,1246,2024,1033,991,550,295,255
......0247 Schlieren,20389,10551,9838,10874,5390,5484,9515,5161,4354
......0248 Uitikon,5697,2851,2846,4423,2227,2196,1274,624,650
......0249 Unterengstringen,4346,2164,2182,3195,1579,1616,1151,585,566
......0250 Urdorf,10503,5180,5323,7628,3671,3957,2875,1509,1366
......0251 Weiningen (ZH),5106,2636,2470,3493,1752,1741,1613,884,729
>> Bezirk Zürich,436370,219383,216987,288066,140095,147971,148304,79288,69016
......0261 Zürich,436370,219383,216987,288066,140095,147971,148304,79288,69016
- Bern / Berne,1070898,526291,544607,874329,423556,450773,196569,102735,93834
>> Arrondissement administratif Jura bernois,54285,27247,27038,43575,21529,22046,10710,5718,4992
......0431 Corgémont,1819,913,906,1529,752,777,290,161,129
......0432 Cormoret,511,252,259,471,227,244,40,25,15
......0433 Cortébert,660,305,355,582,267,315,78,38,40
......0434 Courtelary,1447,725,722,1238,611,627,209,114,95
......0435 La Ferrière,548,266,282,505,244,261,43,22,21
......0437 Mont-Tramelan,111,55,56,109,54,55,2,1,1
......0438 Orvin,1260,639,621,1104,556,548,156,83,73
......0441 Renan (BE),956,493,463,864,436,428,92,57,35
......0442 Romont (BE),232,114,118,181,90,91,51,24,27
......0443 Saint-Imier,5176,2586,2590,3565,1735,1830,1611,851,760
......0444 Sonceboz-Sombeval,1909,979,930,1588,798,790,321,181,140
......0445 Sonvilier,1221,617,604,1060,532,528,161,85,76
......0446 Tramelan,4727,2383,2344,3828,1901,1927,899,482,417
......0448 Villeret,924,456,468,767,368,399,157,88,69
......0449 Sauge,829,412,417,713,356,357,116,56,60
......0450 Péry-La Heutte,1976,1023,953,1578,801,777,398,222,176
......0681 Belprahon,266,137,129,247,126,121,19,11,8
......0683 Champoz,150,75,75,149,74,75,1,1,.
......0687 Corcelles (BE),186,89,97,179,86,93,7,3,4
......0690 Court,1371,696,675,1218,614,604,153,82,71
......0691 Crémines,537,288,249,483,262,221,54,26,28
......0692 Eschert,387,213,174,324,174,150,63,39,24
......0694 Grandval,381,205,176,340,182,158,41,23,18
......0696 Loveresse,358,179,179,330,165,165,28,14,14
......0700 Moutier,7253,3555,3698,5170,2487,2683,2083,1068,1015
......0701 Perrefitte,480,245,235,370,184,186,110,61,49
......0703 Reconvilier,2506,1275,1231,1931,975,956,575,300,275
......0704 Roches (BE),191,92,99,154,71,83,37,21,16
......0706 Saicourt,644,335,309,595,303,292,49,32,17
......0707 Saules (BE),148,81,67,144,78,66,4,3,1
......0708 Schelten,33,17,16,32,17,15,1,.,1
......0709 Seehof,67,37,30,57,34,23,10,3,7
......0711 Sorvilier,300,149,151,261,129,132,39,20,19
......0713 Tavannes,3504,1750,1754,2583,1256,1327,921,494,427
......0715 Rebévelier,32,18,14,32,18,14,.,.,.
......0716 Petit-Val,483,267,216,376,196,180,107,71,36
......0717 Valbirse,3974,1978,1996,3178,1555,1623,796,423,373
......0723 La Neuveville,3803,1869,1934,3126,1508,1618,677,361,316
......0724 Nods,768,405,363,704,369,335,64,36,28
......0726 Plateau de Diesse,2157,1074,1083,1910,938,972,247,136,111
>> Verwaltungskreis Biel/Bienne,106331,52352,53979,76008,36503,39505,30323,15849,14474
......0371 Biel/Bienne,56836,28112,28724,37016,17737,19279,19820,10375,9445
......0372 Evilard,2657,1312,1345,2306,1136,1170,351,176,175
......0387 Lengnau (BE),5800,2919,2881,4044,1990,2054,1756,929,827
